ref,is_in:district,description,operator,contact:phone,opening_hours,longitude,latitude,status,status:date,url,image
0269,萬華,老松公園臺北市萬華區桂林路與永福街之間遊戲區旁,工務局公園處青年管理所,+886 2 2700 3830,024/7,121.502868,25.038627,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0269,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0269.JPG
0270,萬華,東園公園臺北市萬華區萬大路424巷與486巷68弄間入口旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.495280,25.021060,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0270,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0270.JPG
0271,萬華,西園公園臺北市萬華區東園街67巷與73巷間人行道旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.498183,25.026699,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0271,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0271.JPG
0272,萬華,華江8號公園臺北市萬華區環河南路二段250巷28弄旁西側人行道旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.492678,25.034156,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0272,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0272.JPG
0273,萬華,福星公園臺北市萬華區漢口街與昆明街交叉口西側人行道旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.505850,25.046236,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0273,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0273.JPG
0274,萬華,青山公園臺北市萬華區華西街10巷旁北側草坪,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.498456,25.039502,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0274,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0274.JPG
0275,萬華,錦德公園臺北市萬華區德昌街與西園路二段281巷5弄交口遊戲區旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.492497,25.023416,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0275,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0275.JPG
0276,萬華,壽德公園臺北市萬華區萬青街118巷旁工具間旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.501121,25.024495,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0276,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0276.JPG
0277,萬華,柳鄉公園臺北市萬華區環河南路二段100巷遊樂場旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.495305,25.037244,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0277,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0277.JPG
0278,萬華,保德公園臺北市萬華區東園街154巷與長泰街156巷交口遊樂場旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.497261,25.022712,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0278,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0278.JPG
0279,萬華,馬場町河濱公園臺北市萬華區馬場町河濱公園入口廣場馬場町河濱公園入口廣場,工務局水利工程處南區管理站,+886 2 2720 8889#2690,24/7,121.504661,25.019714,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0279,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0279.JPG
0280,萬華,光復橋下河濱公園廣場臺北市萬華區光復橋下河濱公園洗手台旁光復橋下河濱公園洗手台旁,工務局水利工程處南區管理站,+886 2 2720 8889#2690,24/7,121.490288,25.024210,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0280,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0280.JPG
0282,萬華,孝德公園臺北市萬華區寶興街140巷17弄1-3號對面溜滑梯旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.494234,25.024011,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0282,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0282.JPG
0285,中正,中正河濱公園臺北市中正區詔安街38巷對面網球場,工務局水利工程處南區管理站,+886 2 2720 8889#2690,24/7,121.514003,25.023632,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0285,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0285.JPG
0286,萬華,華中河濱公園臺北市萬華區環河南路三段243號對面(人行便橋下)人行便橋下,工務局水利工程處南區管理站,+886 2 2720 8889#2690,24/7,121.492018,25.020129,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0286,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0286.JPG
0286a,萬華,華中河濱公園臺北市萬華區環河南路三段335號對面籃球場旁,工務局水利工程處南區管理站,+886 2 2720 8889#2690,24/7,121.493007,25.017220,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0286a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0286a.JPG
0287,萬華,長沙公園臺北市萬華區環河南路一段280號之1廣場旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.500111,25.041689,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0287,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0287.JPG
0289,萬華區,萬華1號綠地臺北市萬華區大理街22號對面入口旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.502011,25.034930,正常,20240821102000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0289,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0289.JPG
0290,萬華區,西門町商圈臺北市萬華區中華路1段136號前人行道,北水處西區分處,+886 2 3343 1678#1696,24/7,121.508335,25.043431,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0290,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0290.JPG
0291,萬華區,西門町商圈臺北市萬華區中華路1段88號前人行道,北水處西區分處,+886 2 3343 1678#1696,24/7,121.508808,25.045052,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0291,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0291.JPG
0310n1a,信義,市政大樓臺北市信義區市府路1號中北1樓,市政大樓公管中心,+886 2 2720 8889轉3003,Mo-Su 08:00-18:00,121.564568,25.037851,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310n1a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310n1a.JPG
0310n2a,信義,市政大樓臺北市信義區市府路1號中北2樓,市政大樓公管中心,+886 2 2720 8889轉3003,Mo-Su 08:00-18:00,121.564568,25.037851,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310n2a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310n2a.JPG
0310nb,信義,市政大樓臺北市信義區市府路1號中北B1樓,市政大樓公管中心,+886 2 2720 8889轉3003,Mo-Su 08:00-18:00,121.564568,25.037851,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310nb,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310nb.JPG
0310s1a,信義,市政大樓臺北市信義區市府路1號中央南1樓,市政大樓公管中心,+886 2 2720 8889轉3003,Mo-Su 08:00-18:00,121.564472,25.037214,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310s1a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310s1a.JPG
0310s2a,信義,市政大樓臺北市信義區市府路1號中央南2樓,市政大樓公管中心,+886 2 2720 8889轉3003,Mo-Su 08:00-18:00,121.564472,25.037214,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310s2a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310s2a.JPG
0310sb,信義,市政大樓臺北市信義區市府路1號中央南B1樓,市政大樓公管中心,+886 2 2720 8889轉3003,Mo-Su 08:00-18:00,121.564472,25.037214,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310sb,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310sb.JPG
0327,松山,民權公園臺北市松山區富錦街389巷12弄18號公園內,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.558354,25.061298,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0327,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0327.JPG
0350,信義,景勤2號公園臺北市信義區信安街、吳興街220巷交口(原陸軍保養廠)入口旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.558051,25.026098,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0350,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0350.JPG
0352a,信義,象山公園臺北市信義區信義路5段150巷運動場旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.569941,25.029669,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0352a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0352a.JPG
0352b,信義,象山公園臺北市信義區信義路5段150巷運動場旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.569994,25.030763,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0352b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0352b.JPG
0353,信義,三興公園臺北市信義區吳興街156巷40弄與吳興街118巷間涼亭旁邊,工務局公園處南港管理所,+886 2 2783 3685,024/7,121.559605,25.028616,暫停,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0353,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0353.JPG
0354,信義,景勤1號公園臺北市信義區吳興街220巷59弄13號對面入口處,工務局公園處南港管理所,+886 2 2783 3685,024/7,121.561012,25.027111,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0354,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0354.JPG
0354a,信義,景勤1號公園臺北市信義區吳興街220巷61號旁YouBike站旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.561757,25.026749,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0354a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0354a.JPG
0355,信義,市府大樓東南側臺北市信義區松智路與松壽路口兒童戲沙池旁,市政大樓公管中心,+886 2 2720 8889轉3003,24/7,121.564929,25.036876,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0355,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0355.JPG
0356,信義,國父紀念館臺北市信義區仁愛路四段505號北側人行道,北水處南區分處,+886 2 8369 5106,24/7,121.559510,25.041155,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0356,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0356.JPG
0356a,信義,國父紀念館臺北市信義區國父紀念館（光復南路出入口）佈告欄旁,國父紀念館,+886 2 2758 8008#532,24/7,121.557850,25.039293,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0356a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0356a.JPG
0357a,信義,松壽廣場臺北市信義區松智路東側(松高路至信義路5段)松壽廣場公園前(松智路75號),工務局公園處南港管理所,+886 2 2783 3685,24/7,121.565796,25.037545,正常,20231229100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0357a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0357a.JPG
0357b,信義,臺北市東區商圈夜市信義臺北市信義區松智路東側(松高路至信義路6段松智路83號))信義直飲廊道,Att 4 FUN 管理部,+886 2 8780 8111轉7502,24/7,121.565635,25.035352,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0357b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0357b.JPG
0357c,信義,信義直飲廊道(信義南山廣場)臺北市信義區松智路人行道綠帶旁,南山廣場公寓大廈管理維護股份有限公司設施管理科,+886 2 2723 8009#90029,24/7,121.565609,25.034213,正常,20231229100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0357c,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0357c.JPG
0358,信義,象山步道臺北市信義區信義路五段150巷342弄象山六巨石觀景台,大地工程處道路步道科,+886 2 2759 3001轉3220,24/7,121.574429,25.026832,暫停,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0358,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0358.JPG
0359,信義,福德公園臺北市信義區福德街與大道路口東北側入口處,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.583981,25.038427,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0359,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0359.JPG
0360,信義,春光公園臺北市信義區忠孝東露5段558號旁遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.580770,25.042468,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0360,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0360.JPG
0361,信義,林口公園臺北市信義區林口街84號對面公園南側,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.579014,25.038714,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0361,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0361.JPG
0362,信義,松德公園臺北市信義區松德路180巷11號對面遊戲場旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.573112,25.035385,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0362,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0362.JPG
0363,信義,富生1號公園臺北市信義區永吉路30巷157巷北側入口處左側,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.569970,25.042220,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0363,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0363.JPG
0364,信義,三張里公園臺北市信義區松平路81號廣場旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.566640,25.030577,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0364,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0364.JPG
0365,信義,景聯廣場臺北市信義區松勤街18號對面入口處旁,工務局公園處園藝工程隊,+886 2 2381 5132＃318,24/7,121.559961,25.032180,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0365,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0365.JPG
0366,信義,忠信廣場臺北市信義區興雅路南側入口處,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.567873,25.040136,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0366,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0366.JPG
0375,信義,永春崗公園臺北市信義區松山路656巷5號(對面樓梯上)永春崗公園入口處,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.577806,25.031417,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0375,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0375.JPG
0376,信義,虎林公園臺北市信義區信義路五段151巷兒童遊戲場旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.574746,25.031526,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0376,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0376.JPG
0377,信義,永春陂生態濕地公園臺北市信義區松山路657號建物旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.579942,25.033015,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0377,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0377.JPG
0378,信義,瑤池宮臺北市信義區松山路677之25號松山一坑入口旁,大地工程處道路步道科,+886 2 2759 3001轉3220,24/7,121.583200,25.029013,正常,20230111000000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0378,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0378.JPG
0379,信義,北星寶宮臺北市信義區松山路670-1號登山步道旁,大地工程處道路步道科,+886 2 2759 3001轉3220,24/7,121.578192,25.025878,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0379,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0379.JPG
0380,信義,復興園臺北市信義區福德街221巷189號觀景平台,大地工程處道路步道科,+886 2 2759 3001轉3220,24/7,121.586865,25.030994,正常,20230111000000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0380,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0380.JPG
0385,信義區,景勤狗活動區臺北市信義區信安街67巷與吳興街156巷65弄交口旁門口旁草皮內,北水處南區分處,+886 2 8369 5106,24/7,121.558731,25.025864,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0385,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0385.JPG
0386,信義區,妙高台步道臺北市信義區紫雲街75號對面步道口旁,大地工程處道路步道科,+886 2 2759 3001轉3220,24/7,121.576778,25.015463,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0386,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0386.JPG
0423a,中正,北水處西區分處大門口臺北市中正區牯嶺街38號大門口,北水處西區分處,+886 2 3343 1678#1696,Mo-Su 8:30-17:30,121.516533,25.029770,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0423a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0423a.JPG
0428b,中正,二二八和平公園臺北市中正區凱達格蘭大道3號,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.514240,25.042270,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0428b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0428b.JPG
0428c,中正,二二八和平公園臺北市中正區凱達格蘭大道3號兒童遊戲區,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.514577,25.040141,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0428c,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0428c.JPG
0428e,中正,二二八和平公園臺北市中正區懷寧街90號對面公園西北側懷寧街側水池旁,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.514487,25.042724,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0428e,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0428e.JPG
0428f,中正,二二八和平公園臺北市中正區公園路50號(台北賓館對面)228和平紀念館前,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.515367,25.040647,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0428f,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0428f.JPG
0444,大安,富陽公園臺北市大安區富陽街底臺北市富陽街底,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.557172,25.016597,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0444,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0444.JPG
0445,大安,「王留」公公園臺北市大安區復興南路1段135巷口忠孝東路4段49巷與49巷4弄交口,工務局公園處青年管理所,+886 2 2700 3830,24/7,121.545310,25.042428,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0445,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0445.JPG
